id,brand,name,address,url,weekday_open,weekday_close,weekend_open,weekend_close
1,Tacombi,Financial District,"74 Broad Street New York, NY 10004",https://order.tacombi.com/order/,11,11,11,12
2,Tacombi,Williamsburg,"242 Metropolitan Ave, Brooklyn, NY 11211",https://order.tacombi.com/order/,11,11,11,12
3,Tacombi,Upper West Side,"377 Amsterdam Ave, New York, NY 10024",https://order.tacombi.com/order/,11,11,11,12
4,Tacombi,Empire State Building,"23 West 33rd Street, New York, NY 10118",https://order.tacombi.com/order/,11,11,11,12
5,Tacombi,Fort Greene,"25 Lafayette Ave, Brooklyn, NY 11217",https://order.tacombi.com/order/,11,11,11,12
6,Tacombi,Bleecker Street,"255 Bleecker Street, New York, NY 10014",https://order.tacombi.com/order/,11,11,11,12
7,Tacombi,Flatiron,"30 West 24th Street, New York, NY 10010",https://order.tacombi.com/order/,11,11,11,12
8,Tacombi,Nolita,"267 Elizabeth Street, New York, NY 10012",https://order.tacombi.com/order/,11,11,11,12
9,Brine Chicken,Chelsea,"106 8th Ave, New York, NY 10011",https://www.brinechicken.com/,1130,10,1130,10
10,Dos Toros,45th & Lex,"465 Lexington Ave, New York, NY 10017",https://order.dostoros.com/dostoros-45th-and-lex/menu,1045,9,12,9
